NFIRS Code,NFIRS Incident Type Code Description,NERIS Category,NERIS Subcategory,NERIS Description,NERIS Definition
100,"Fire, other",Fire,Transportation Fire,Powered mobility device fire,A transportation fire incident involving a powered mobility device.
100,"Fire, other",Fire,Special Fire,ESS fire (Energy Storage System),"A special fire incident involving an Energy Storage System (ESS), often involving batteries or other energy storing technologies."
100,"Fire, other",Fire,Outside Fire,Utility infrastructure fire,"An outdoor fire incident involving the ignition and combustion of materials associated with utility infrastructure, such as power lines, transformers, or pipelines, potentially disrupting essential services."
111,Building fire. Excludes confined fires (113–118).,Fire,Structure Fire,"Structural involvement fire, room and contents fire",A structure fire incident involving the structural components of a building; structure fire incident involving the room and contents of a building(s).
112,"Fire in structure, other than in a building. Included are fires on or in piers, quays, or pilings: tunnels or under- ground connecting structures; bridges, trestles, or overhead elevated structures; transformers, power or utility vaults or equipment; fences; and tents.",Fire,Special Fire,"Infrastructure fire (Fence, Tunnel, Bridge)","A special fire incident involving an explosion that affects infrastructure, such as pipelines, power lines, tunnels, bridges, or other critical systems."
113,Cooking fire involving the contents of a cooking vessel without fire extension beyond the vessel.,Fire,Structure Fire,"Confined cooking, appliance fire",A structure fire incident involving a confined cooking or appliance fire.
114,Chimney or flue fire originating in and confined to a chimney or flue. Excludes fires that extend beyond the chimney (111 or 112).,Fire,Structure Fire,Chimney fire,A structure fire incident involving a chimney fire.
115,"Incinerator overload or malfunction, but flames cause no damage outside the incinerator.",Fire,Outside Fire,"Dumpster, outdoor container fire","An outdoor fire incident involving the combustion of materials inside a dumpster or similar container, often consisting of waste and discarded items."
116,"Fuel burner/boiler, delayed ignition or malfunction, where flames cause no damage outside the fire box.",Fire,Outside Fire,"Dumpster, outdoor container fire","An outdoor fire incident involving the combustion of materials inside a dumpster or similar container, often consisting of waste and discarded items."
117,"Commercial compactor fire, confined to contents of compactor. Excluded are home trash compactors.",Fire,Outside Fire,"Dumpster, outdoor container fire","An outdoor fire incident involving the combustion of materials inside a dumpster or similar container, often consisting of waste and discarded items."
118,"Trash or rubbish fire in a structure, with no flame damage to structure or its contents.",Fire,Outside Fire,"Trash, Rubbish fire","An outdoor fire incident involving the burning of trash or rubbish, including discarded materials and waste products."
120,"Fire in mobile property used as a fixed structure, other.",Fire,Structure Fire,"Structural involvement fire, room and contents fire",A structure fire incident involving the structural components of a building; structure fire incident involving the room and contents of a building(s).
